Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1973,Afghanistan,Asia,Southern Asia,,652860.0,17.7472747343728,2.52442123659969,1733333264.44444,,142.874,,,12.9487180787311,7.487,270000.0,,,7.30769221351084,14.7435907141683,,,39.003,18.1730776453403,1.86891025641026,,285.2,-3030.0,11575305.0,,35.2143707275391,,5.68898188892161
1973,Netherlands,Europe,Western Europe,,41530.0,398.084182464455,0.827331016213766,71840909664.1968,5.44422298483258,16.931,4.67609678215671,,45.4143864002759,1.9,1118995448.40256,4970.0,66754026003.7496,25.7461971311046,40.7456257958178,31.9152806875791,8.48100093112261,74.1439024390244,78.0836437932195,2.70299724962028,,14.1,31535.0,13439322.0,38.2940975320714,100.047302246094,22.4606259221394,1.33702202467147
1973,Poland,Europe,Eastern Europe,,312690.0,108.90724476803,0.908113632602921,,,27.951,,,,2.26,,,,,,,,70.6634146341463,,,,30.5,-28055.0,33357200.0,,105.338722229004,,2.12526526387955
1973,"Egypt, Arab Rep.",Africa,Northern Africa,,1001450.0,37.2904475362901,2.15118273081426,10098534613.4411,3.50683016245949,123.414,26.5749311983988,,13.5351513635226,5.888,700000.0,290.0,10781692491.8797,13.1973980485364,18.1611208406305,20.4953715286465,7.35261504268543,50.852,20.1613410057543,13.5135135135135,,232.5,-112685.0,37120776.0,,70.2219467163086,,3.00769508317785
1973,Gabon,Africa,Sub-Saharan Africa,Middle Africa,267670.0,2.46551014863973,2.06738243230401,722780701.123251,10.1824336186273,186.627,11.6076970825574,,58.8454314090627,5.287,15900000.0,890.0,564468360.271381,37.5543140906269,57.6660273122284,47.8584047175667,34.7576540074799,54.057,72.0827215212484,1.30353817504655,,149.4,613.0,635288.0,,130.283416748047,,7.95942969135835
1973,United Arab Emirates,Asia,Western Asia,,98647.9,6.21720642072656,11.8082029950538,,,144.822,,,,6.4,3410000.0,,,,,,,63.351,,,,72.8,39563.0,441546.0,,74.6328887939453,,11.8081785557041
1973,Viet Nam,Asia,South-eastern Asia,,331690.0,137.919078927156,2.21921710647356,,,31.631,,,,6.108,1030000.0,,,,,,,56.786,,,,79.9,-19999.0,44891281.0,,,,2.73701428611571
1973,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,440.0,146.506818181818,-0.359250297337286,,,106.138,,,,3.126,,,,,,,,71.349,,,,25.0,-1430.0,64463.0,,,,-0.127458138158386
1973,Mongolia,Asia,Eastern Asia,,1564120.0,0.906212932337195,2.78195793952513,,,52.925,,,,7.354,,,,,,,,54.631,,,,,4610.0,1402309.0,,99.6712112426758,,4.31868546651408
1973,Haiti,Americas,Latin America and the Caribbean,Caribbean,27750.0,179.271044992743,1.78878666376347,466798975.004938,4.75532209168918,71.989,,,,5.648,6979999.99531595,,,,,,19.7875854535674,48.208,29.1345969640489,,,227.8,-18699.0,4940710.0,,55.4816284179688,,1.92150140036581
1973,Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,622980.0,3.52484028379723,1.94473653837216,271183081.978302,1.888939956294,169.247,,,28.6180418550823,5.928,-200000.0,120.0,264311363.267725,20.845819730692,36.4868833574321,,2.19949026241304,46.854,32.8191564719812,,,211.0,-9802.0,2195905.0,,57.0894317626953,,4.95995538592143
1973,Spain,Europe,Southern Europe,,505990.0,70.0086978270439,1.1049376041377,78639525985.1513,7.78846535789519,16.672,,,13.3214863765807,2.84,390000000.0,2090.0,72965740271.1116,28.6980054366878,14.7856018915624,,11.8495945524739,72.6107317073171,18.9027080387117,2.11074172547559,,25.2,9876.0,34988947.0,18.1615914322887,110.029167175293,9.32085520395397,2.11109732502407
1973,Malaysia,Asia,South-eastern Asia,,330800.0,33.6711733373916,2.3879804780329,7662903760.34323,11.7010816119945,55.696,28.9364471505635,,41.4837365806762,4.735,172000000.0,600.0,6634597511.47232,23.6393740319393,35.8489558297281,31.2522250707686,17.874119718934,64.62,71.7613084018909,3.87224269614912,,47.8,-25703.0,11062664.0,,,,4.75269935139203
1973,Israel,Asia,Western Asia,,22070.0,151.478743068392,4.04661497664812,,,41.712,,,,3.698,149000000.0,,,,,,,71.6934146341464,,27.856092653735,,27.2,21710.0,3278000.0,,100.623359680176,,4.56317444325286
1973,Cuba,Americas,Latin America and the Caribbean,Caribbean,109890.0,86.5728491620112,1.39314016134818,9987709650.18094,3.43448853582436,151.561,12.1232424705138,,32.624116687297,3.492,,1030.0,9546591324.08707,25.9162428013305,44.1776867547694,16.9351649354618,3.25154395706649,70.02,32.0694144321864,,,31.4,-64655.0,9297924.0,,121.706268310547,,2.70168392813715
1973,Saudi Arabia,Asia,Western Asia,,2149690.0,3.29757220808582,5.27882666355733,14947535254.2287,24.1705285374227,179.306,2.19317463465054,,99.7035967580905,7.484,-625912388.694585,1510.0,10730788713.3312,-13.4052980864995,20.9159258138303,69.6988455265616,11.3940363041529,55.932,73.3231252751142,10.8404475911154,,149.1,128233.0,7088758.0,,,,9.01229054582951
1973,Sudan,Africa,Northern Africa,,2505810.0,5.24814436026936,3.36259922979227,3077254460.30228,0.632195249838389,158.268,39.841343910406,,14.8483434437704,6.96,260000.0,180.0,2882699222.61538,,17.0228651423238,12.0951936537564,23.1515826500989,53.069,28.2719551217919,3.16211878009631,,154.4,5788.0,12469591.0,,,,6.68994830493917
1973,Cabo Verde,Africa,Sub-Saharan Africa,Western Africa,4030.0,74.2409429280397,0.79630090794537,,,96.723,,,,6.855,,,,,,,,56.008,,,,125.4,-6412.0,299191.0,,86.6989669799805,,2.63891788184161
1973,New Caledonia,Oceania,Melanesia,,18580.0,7.02954048140044,2.36231457634359,542293400.026262,-11.1993086277225,76.228,,,,3.9,,4000.0,513380965.729467,,,,6.56497740877913,64.3756097560976,76.3424375033794,,,,2047.0,128500.0,,,,3.83916922676537
1973,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,1221900.0,27.8785794732062,2.65090859876121,,,172.461,,,,7.094,,,,,,,,41.635,,1.92555408221254,,245.2,355.0,30694316.0,,16.3180294036865,,4.58108894770022
1973,Argentina,Americas,Latin America and the Caribbean,South America,2780400.0,9.14264604321279,1.64326169179334,52544000116.9037,2.81175403849035,68.608,11.9525224881086,27.4901879012225,7.61266772119213,3.198,100250000.0,1820.0,45649404114.866,20.8938115320811,5.70950079036544,43.3522399337902,65.535287370144,66.323,10.4598050924408,1.84857142857143,,68.2,39199.0,25020588.0,,105.710746765137,,2.16233601381638
1973,"Venezuela, RB",Americas,Latin America and the Caribbean,South America,912050.0,14.0862808230826,2.96662036667825,17035581395.3488,7.10995789495577,105.35,6.0150437524743,36.2944862326458,28.666129714824,4.906,-84000000.0,1340.0,16688608411.0503,35.4033281913369,19.1548469004682,47.6081525671304,11.2003944899521,65.936,45.2171242133428,2.47098976109215,,57.1,182.0,12424804.0,,91.4142227172852,,3.98082853148224
1973,Germany,Europe,Western Europe,,356970.0,226.095339844757,0.314942451198579,398374021953.897,4.77748689217385,37.774,,,15.3552677535058,1.54,2102302343.34061,4670.0,368876275775.646,29.2781007735651,16.3479491251614,,6.29951371846744,71.1128048780488,30.738450112636,3.15961733306638,,23.1,121476.0,78936666.0,22.573261213294,,10.9193948100922,0.393651778008364
